ZCTA5,concat_county_name,concat_state_name
01001,Hampden County,Massachusetts
01002,Franklin County|Hampshire County,Massachusetts
01003,Hampshire County,Massachusetts
01005,Worcester County,Massachusetts
01007,Hampshire County,Massachusetts
01008,Hampden County,Massachusetts
01009,Hampden County,Massachusetts
01010,Hampden County,Massachusetts
01011,Hampden County|Hampshire County,Massachusetts
01012,Hampshire County,Massachusetts
01013,Hampden County,Massachusetts
01020,Hampden County,Massachusetts
01022,Hampden County,Massachusetts
01026,Hampshire County,Massachusetts
01027,Hampshire County,Massachusetts
01028,Hampden County,Massachusetts
01029,Berkshire County,Massachusetts
01030,Hampden County,Massachusetts
01031,Worcester County,Massachusetts
01032,Hampshire County,Massachusetts
01033,Hampshire County,Massachusetts
01034,Hampden County,Massachusetts
01035,Hampshire County,Massachusetts
01036,Hampden County,Massachusetts
01037,Worcester County,Massachusetts
01038,Hampshire County,Massachusetts
01039,Franklin County|Hampshire County,Massachusetts
01040,Hampden County,Massachusetts
01050,Hampden County|Hampshire County,Massachusetts
01053,Hampshire County,Massachusetts
01054,Franklin County,Massachusetts
01056,Hampden County,Massachusetts
01057,Hampden County,Massachusetts
01060,Hampshire County,Massachusetts
01062,Hampshire County,Massachusetts
01063,Hampshire County,Massachusetts
01066,Hampshire County,Massachusetts
01068,Worcester County,Massachusetts
01069,Hampden County,Massachusetts
01070,Hampshire County,Massachusetts
01071,Hampden County,Massachusetts
01072,Franklin County,Massachusetts
01073,Hampshire County,Massachusetts
01074,Worcester County,Massachusetts
01075,Hampshire County,Massachusetts
01077,Hampden County,Massachusetts
01079,Hampden County,Massachusetts
01080,Hampden County,Massachusetts
01081,Hampden County,Massachusetts
01082,Hampshire County|Worcester County,Massachusetts
01083,Worcester County,Massachusetts
01084,Hampshire County,Massachusetts
01085,Hampden County,Massachusetts
01086,Hampden County,Massachusetts
01088,Hampshire County,Massachusetts
01089,Hampden County,Massachusetts
01092,Worcester County,Massachusetts
01093,Franklin County,Massachusetts
01094,Worcester County,Massachusetts
01095,Hampden County,Massachusetts
01096,Hampshire County,Massachusetts
01097,Hampden County,Massachusetts
01098,Hampshire County,Massachusetts
01103,Hampden County,Massachusetts
01104,Hampden County,Massachusetts
01105,Hampden County,Massachusetts
01106,Hampden County,Massachusetts
01107,Hampden County,Massachusetts
01108,Hampden County,Massachusetts
01109,Hampden County,Massachusetts
01118,Hampden County,Massachusetts
01119,Hampden County,Massachusetts
01128,Hampden County,Massachusetts
01129,Hampden County,Massachusetts
01151,Hampden County,Massachusetts
01199,Hampden County,Massachusetts
01201,Berkshire County,Massachusetts
01220,Berkshire County,Massachusetts
01222,Berkshire County,Massachusetts
01223,Berkshire County,Massachusetts
01224,Berkshire County,Massachusetts
01225,Berkshire County,Massachusetts
01226,Berkshire County,Massachusetts
01229,Berkshire County,Massachusetts
01230,Berkshire County,Massachusetts
01235,Berkshire County,Massachusetts
01236,Berkshire County,Massachusetts
01237,Berkshire County,Massachusetts
01238,Berkshire County,Massachusetts
01240,Berkshire County,Massachusetts
01242,Berkshire County,Massachusetts
01243,Hampshire County,Massachusetts
01244,Berkshire County,Massachusetts
01245,Berkshire County,Massachusetts
01247,Berkshire County,Massachusetts
01253,Berkshire County,Massachusetts
01254,Berkshire County,Massachusetts
01255,Berkshire County,Massachusetts
01256,Berkshire County,Massachusetts
01257,Berkshire County,Massachusetts
01258,Berkshire County,Massachusetts
01259,Berkshire County,Massachusetts
01260,Berkshire County,Massachusetts
01262,Berkshire County,Massachusetts
01264,Berkshire County,Massachusetts
