code,service_term,level
B,Basic Needs,1
BD,Food,2
BD-1500,Community Wide Food Storage Facilities,3
BD-1800,Emergency Food,3
BD-1800.1000,Brown Bag Food Programs,4
BD-1800.1500,Commodity Supplemental Food Program,4
BD-1800.1900,Food Lines,4
BD-1800.2000,Food Pantries,4
BD-1800.2000-620,Occasional Emergency Food Assistance,5
BD-1800.2000-640,Ongoing Emergency Food Assistance,5
BD-1800.2250,Food Vouchers,4
BD-1800.2500,Government Surplus Food Distribution Sites,4
BD-1800.8000,Sack Lunches/Dinners,4
BD-1800.8200,Specialty Food Providers,4
BD-1800.8200-150,Dehydrated Food,5
BD-1800.8200-170,Dietary Supplements,5
BD-1800.8200-200,Food Supplements,5
BD-1800.8200-250,Formula/Baby Food,5
BD-1800.8200-255,Fresh Food,5
BD-1800.8200-300,Gluten Free Food,5
BD-1800.8200-320,Halal Food,5
BD-1800.8200-380,Kosher Food,5
BD-1800.8200-400,Liquid Nutrition Supplements,5
BD-1800.8200-500,Meals Ready to Eat,5
BD-1800.8200-600,No Cook Food,5
BD-1800.8200-650,Organic Food,5
BD-1800.8200-780,Special Diet Food,5
BD-1800.8200-800,Specialty Ethnic Foods,5
BD-1800.8200-900,Vegetarian Food,5
BD-1850,Emergency Food Clearinghouses,3
BD-1875,Food Collection and Storage,3
BD-1875.1500,Community Wide Food Storage Facilities,4
BD-1875.2000,Food Banks/Food Distribution Warehouses,4
BD-1875.2200,Food Gleaning Programs,4
BD-1875.2700,Food Rescue Programs,4
BD-2000,Food Banks/Food Distribution Warehouses,3
BD-2200,Food Gleaning Programs,3
BD-2400,Food Outlets,3
BD-2400.1500,Community Supported Agriculture,4
BD-2400.2000,Farm Trails,4
BD-2400.2250,Farmers Markets,4
BD-2400.2500,Food Cooperatives,4
BD-2400.2590,Grocery Delivery,4
BD-2400.2600,Grocery Stores,4
BD-2400.4900,Markets/Restaurants Accepting EBT Cards,4
BD-2400.5000,Mini Markets,4
BD-2400.5050,Mobile Markets,4
BD-2400.7000,Rent A Tree,4
BD-2400.9000,U-Pick Programs,4
BD-2400.9400,Wholesale Grocery Distributors,4
BD-2600,Food Production,3
BD-2600.0100,Agricultural Establishments,4
BD-2600.0100-020,Aquaculture Establishments,5
BD-2600.0100-070,Beekeeping Establishments,5
